subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,0,training,0-0,3-0;4-0;0-7;2-5;3-1;0-2,3-0,15.28,11,11,203.41943069
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,1,training,3-0,1-5;9-0;9-5;2-5;5-0;5-1,5-0,7.64,19,8,217.647320075
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,2,training,5-0,8-7;11-1;0-4;12-0;5-2;1-2,12-0,6.09,42,23,233.078340667
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,3,training,12-0,18-0;11-5;5-3;16-3;6-4;8-3,18-0,5.35,59,17,242.337981927
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,4,training,18-0,19-0;23-2;20-5;23-5;19-7;24-0,23-5,7.11,70,11,252.820560424
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,5,training,23-5,19-10;16-2;23-7;25-10;26-9;21-9,16-2,4.72,53,-17,261.725484692
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,6,training,16-2,11-4;15-6;19-5;13-5;21-6;16-9,21-6,7.08,66,13,275.202526873
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,7,training,21-6,22-3;21-10;16-2;20-12;14-8;22-1,22-3,4.56,68,2,282.758736199
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,8,training,22-3,27-2;25-9;28-7;22-9;19-4;24-10,28-7,5.47,80,12,291.977008411
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,9,training,28-7,27-11;29-5;23-11;24-5;21-10;26-4,24-5,5.98,72,-8,301.240305445
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,10,training,24-5,29-3;23-8;27-1;25-11;24-9;21-2,21-2,8.62,66,-6,313.555727267
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,11,training,21-2,28-5;28-2;18-5;20-8;17-8;22-4,28-2,7.42,80,14,325.317901257
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,12,training,28-2,22-7;25-0;26-1;23-7;26-2;35-1,26-2,3.17,76,-4,331.104512693
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,13,training,26-2,28-9;26-10;30-5;22-6;29-9;20-3,20-3,2.45,64,-12,336.45789234
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,14,training,20-3,14-7;21-4;13-1;16-1;28-3;24-6,21-4,3.89,66,2,344.489085333
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,15,training,21-4,24-11;17-0;25-7;23-4;15-9;15-4,23-4,5.07,70,4,352.705175156
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,16,training,23-4,22-8;27-3;30-4;26-6;30-7;26-8,26-6,5.06,76,6,361.584855986
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,17,training,26-6,31-4;28-11;32-4;19-6;27-4;31-9,31-4,5.53,85,9,370.201862681
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,18,training,31-4,35-9;25-0;33-2;24-5;35-10;29-4,33-2,3.23,88,3,377.206210175
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,19,training,33-2,35-1;35-3;33-10;36-6;29-2;32-8,29-2,5.87,82,-6,387.112612628
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,20,training,29-2,33-0;31-6;33-8;30-1;26-3;29-10,30-1,2.63,84,2,393.337275803
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,21,training,30-1,31-5;23-2;27-4;23-3;28-4;31-3,23-3,2.27,70,-14,399.516796043
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,22,training,23-3,28-2;19-6;20-8;24-8;29-4;16-5,28-2,1.25,80,10,403.815434146
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,23,training,28-2,29-8;25-2;31-3;27-1;28-4;29-3,31-3,2.16,85,5,409.16016874
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,24,training,31-3,34-8;31-6;29-6;38-3;30-6;26-2,38-3,2.75,94,9,415.243633444
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,25,training,38-3,42-9;41-9;35-4;40-3;38-9;38-5,38-5,2.84,94,0,420.612156657
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,26,training,38-5,45-3;40-3;32-3;34-10;33-5;34-0,40-3,1.87,96,2,426.899270478
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,27,training,40-3,33-2;41-5;47-2;39-10;45-2;33-3,41-5,1.45,96,0,431.008256781
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,28,training,41-5,37-10;43-4;48-8;37-3;38-0;48-6,48-6,2.36,99,3,436.438075106
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,0,OrientationBias,0-0,0,29,training,48-6,42-3;46-11;47-4;45-5;41-7;44-9,45-5,2.28,99,0,441.482961648
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,0,selected,25-64,25-69;27-69;29-59;19-69;25-61;33-64,33-64,5.47,90,7,472.544451696
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,1,selected,33-64,38-68;34-64;38-66;28-62;30-58;32-64,38-66,5.09,92,2,481.198992734
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,2,selected,38-66,45-64;32-68;41-63;45-68;31-68;37-60,45-64,2.77,95,3,487.541664333
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,3,selected,45-64,50-65;44-66;47-70;51-64;47-65;45-69,51-64,1.5,96,1,492.611971964
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,4,selected,51-64,51-68;44-62;46-68;50-63;49-60;51-56,49-60,4.16,97,1,500.392316953
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,5,selected,49-60,44-65;44-59;47-58;43-58;45-57;44-64,44-64,0.7,95,-2,504.63821281
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,6,selected,44-64,43-69;40-63;46-60;40-59;42-63;44-59,40-59,2.44,96,1,510.641742467
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,7,selected,40-59,35-56;46-61;38-52;46-62;37-66;46-64,46-61,1.75,97,1,515.95002143
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,8,selected,46-61,41-56;43-64;52-62;39-60;44-68;52-65,52-62,0.94,97,0,520.451765453
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,9,selected,52-62,52-55;56-61;53-55;50-67;45-62;55-65,50-67,1.77,94,-3,525.785314102
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,10,selected,50-67,51-64;52-69;49-68;55-69;57-66;53-61,52-69,2.75,92,-2,532.101946193
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,11,selected,52-69,47-70;54-65;51-65;54-66;53-64;48-69,47-70,1.6,91,-1,537.266743788
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,12,selected,47-70,45-65;50-67;47-66;47-70;51-70;40-68,51-70,2.78,91,0,543.599262059
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,13,selected,51-70,47-65;46-68;48-67;51-67;46-65;50-69,48-67,5.03,94,3,552.199072757
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,14,selected,48-67,47-70;41-68;47-64;46-62;52-70;45-60,41-68,4.97,91,-3,560.74330743
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,15,selected,41-68,42-67;39-69;37-65;42-62;37-67;36-69,42-62,1.04,95,4,565.340463923
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,16,selected,42-62,42-63;47-56;44-60;41-63;41-58;38-56,38-56,1.46,96,1,570.368980304
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,17,selected,38-56,44-60;41-63;35-60;36-61;33-60;44-59,35-60,1.72,93,-3,575.65701471
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,18,selected,35-60,40-62;30-65;32-66;40-61;34-64;41-56,30-65,0.92,87,-6,580.134492217
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,19,selected,30-65,28-70;26-66;31-61;31-64;24-64;27-64,31-64,5.91,88,1,589.605885409
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,20,selected,31-64,29-58;33-68;31-60;36-68;31-57;37-59,31-60,1.53,90,2,594.700953459
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,21,selected,31-60,27-63;34-60;30-59;33-53;27-61;30-67,33-53,2.35,94,4,600.621938037
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,22,selected,33-53,40-52;36-55;36-47;29-50;33-47;29-47,40-52,3.51,97,3,607.688016609
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,23,selected,40-52,38-45;38-57;46-48;35-46;46-50;42-52,46-48,3.86,99,2,615.109061205
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,24,selected,46-48,45-44;43-52;51-46;45-49;51-47;48-46,45-44,1.31,98,-1,619.978620716
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,25,selected,45-44,45-48;50-43;44-43;52-45;50-45;42-40,50-43,1.47,99,1,625.025644194
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,26,selected,50-43,54-42;52-42;54-40;52-38;55-48;45-39,54-40,3.42,97,-2,632.007899878
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,27,selected,54-40,56-45;51-38;57-39;51-34;50-34;54-41,51-38,1.43,97,0,637.012691339
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,28,selected,51-38,47-33;56-42;53-44;52-41;53-39;53-31,47-33,0.84,94,-3,641.414846008
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,29,selected,47-33,45-29;41-28;44-37;47-38;52-38;45-36,45-29,1.3,90,-4,646.283520145
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,30,selected,45-29,46-36;51-31;38-26;44-33;41-30;40-35,40-35,1.71,93,3,651.567167366
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,31,selected,40-35,44-39;37-38;35-41;37-31;33-33;46-35,37-38,3.58,93,0,658.704119492
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,32,selected,37-38,37-35;43-34;31-37;43-39;34-33;35-37,37-35,1.21,92,-1,663.490737649
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,33,selected,37-35,32-36;40-28;38-40;39-36;40-33;43-32,40-28,0.8,88,-4,667.854611522
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,34,selected,40-28,35-28;46-33;36-29;34-25;38-21;35-22,46-33,1.39,93,5,672.803611217
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,35,selected,46-33,50-30;44-29;39-30;47-35;42-34;43-30,44-29,1.15,90,-3,677.523025679
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,36,selected,44-29,45-35;47-29;42-27;37-31;40-26;44-31,42-27,0.94,88,-2,682.031051833
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,37,selected,42-27,46-26;45-20;44-21;48-30;42-30;47-24,45-20,1.18,81,-7,686.748396898
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,38,selected,45-20,48-20;47-16;52-19;50-14;44-19;51-17,51-17,1.44,78,-3,691.753291109
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,1,SimpleHill,25-64,83,39,selected,51-17,48-11;51-14;53-16;52-23;45-22;57-20,48-11,0.85,69,-9,696.15715283
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,0,selected,11-35,12-40;17-32;11-37;13-32;11-42;8-42,13-32,2.49,66,1,718.51713246
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,1,selected,13-32,17-27;20-31;11-34;11-33;16-36;17-33,20-31,1.72,74,8,723.803711086
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,2,selected,20-31,20-36;20-25;18-31;21-30;22-33;26-35,22-33,1.85,78,4,729.204592748
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,3,selected,22-33,28-32;24-38;18-39;18-31;21-39;23-38,28-32,0.81,83,5,733.582059339
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,4,selected,28-32,24-27;35-32;31-30;27-26;27-38;26-26,27-26,1.1,77,-6,738.248339761
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,5,selected,27-26,28-24;33-22;30-24;28-23;22-29;29-28,29-28,0.66,81,4,742.485317527
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,6,selected,29-28,31-28;32-33;35-30;28-34;31-30;26-23,31-28,0.85,83,2,746.894403795
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,7,selected,31-28,37-26;25-28;29-27;34-21;32-21;31-31,29-27,0.81,80,-3,751.28052088
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,8,selected,29-27,29-20;25-24;34-33;36-28;23-23;28-21,28-21,2.58,73,-7,757.425826134
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,9,selected,28-21,25-14;31-20;28-17;33-16;30-28;34-24,33-16,0.72,71,-2,761.720769412
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,10,selected,33-16,39-11;39-21;37-12;35-19;31-10;33-10,31-10,1.04,60,-11,766.323340586
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,11,selected,31-10,35-13;35-12;31-7;31-17;37-9;28-15,35-12,0.81,66,6,770.703844853
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,12,selected,35-12,39-18;37-16;28-12;37-10;40-6;34-18,39-18,0.67,77,11,774.932739327
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,13,selected,39-18,33-16;35-12;38-15;42-22;37-16;36-18,42-22,2.06,83,6,780.571399626
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,14,selected,42-22,46-18;41-22;49-25;41-17;38-21;37-17,41-17,1.71,76,-7,785.844395136
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,15,selected,41-17,48-16;39-20;35-17;43-22;40-12;37-17,37-17,0.57,74,-2,789.97759322
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,16,selected,37-17,42-16;41-17;30-15;38-22;34-18;36-16,42-16,0.86,75,1,794.382583907
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,17,selected,42-16,42-21;37-14;43-9;38-17;43-13;40-23,42-21,0.84,81,6,798.805053233
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,18,selected,42-21,48-21;46-15;48-16;42-22;35-23;44-24,46-15,1.53,75,-6,803.888827467
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,19,selected,46-15,43-15;46-9;50-10;51-11;43-21;43-14,50-10,0.82,68,-7,808.26793197
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,20,selected,50-10,52-4;52-16;43-9;57-10;57-9;48-3,52-16,2.24,76,8,814.058745257
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,21,selected,52-16,55-21;51-13;50-15;46-16;53-21;55-19,50-15,1.74,75,-1,819.403794182
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,22,selected,50-15,48-17;45-16;46-11;47-18;47-9;57-14,47-18,0.87,79,4,823.846506145
GEMS2_001,2018_Mar_14_1223,Kramer,SF,orientation,8,6,2,SimpleHill,11-35,65,23,selected,47-18,43-15;45-23;52-22;45-20;50-22;46-22,50-22,1.39,84,5,828.814846457
